EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,25590,21568,47339
efficiency,1,0.230862697,0.230862697,0.230862697
efficiency,3,0.273943798,0.273943798,0.273943798
efficiency,6,0.261045848,0.261045848,0.261045848
efficiency,12,0.124630952,0.124630952,0.124630952
efficiency,24,0.051706012,0.051706012,0.051706012
efficiency,1000000,0.027264464,0.027264464,0.027264464
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
