Terapia,Grupo,Probabilidad,Umbral
3TC__DTG,INSTI,0.06616666666666667,22683066.86969697
3TC__FTC__DRV_c,PI,0.0005333333333333334,22683066.86969697
3TC__FTC__DRV_r,PI,0.0015666666666666667,22683066.86969697
ABC_3TC_DTG,INSTI,0.059133333333333336,22683066.86969697
ABC_3TC__ATV_r,PI,0.04186666666666667,22683066.86969697
ABC_3TC__DRV_r,PI,0.030166666666666668,22683066.86969697
ABC_3TC__DTG,INSTI,0.06533333333333333,22683066.86969697
ABC_3TC__EFV,NNRTI,0.0487,22683066.86969697
ABC_3TC__LPV_r,PI,0.0269,22683066.86969697
ABC_3TC__NVP,NNRTI,0.0616,22683066.86969697
ABC_3TC__RAL,INSTI,0.0214,22683066.86969697
AZT_3TC_NVP,NNRTI,0.06026666666666667,22683066.86969697
AZT_3TC__ATV_r,PI,0.0391,22683066.86969697
AZT_3TC__LPV_r,PI,0.030066666666666665,22683066.86969697
AZT_3TC__NVP,NNRTI,0.0634,22683066.86969697
DRV_c,PI,0.009266666666666666,22683066.86969697
DTG_3TC,INSTI,0.0,22683066.86969697
TAF_FTC_BIC,INSTI,0.0,22683066.86969697
TAF_FTC_EVG_c,INSTI,0.0,22683066.86969697
TAF_FTC_RPV,NNRTI,0.0,22683066.86969697
TAF_FTC__DOR,NNRTI,0.0,22683066.86969697
TAF_FTC__DRV_c,PI,0.0,22683066.86969697
TAF_FTC__DRV_r,PI,0.0,22683066.86969697
TAF_FTC__DTG,INSTI,0.0,22683066.86969697
TAF_FTC__RAL,INSTI,0.0,22683066.86969697
TAF_FTC__RPV,NNRTI,0.0,22683066.86969697
TAF__DRV_c,PI,0.0,22683066.86969697
TDF_FTC_EVG_c,INSTI,0.049666666666666665,22683066.86969697
TDF_FTC_RPV,NNRTI,0.021433333333333332,22683066.86969697
TDF_FTC__ATV_r,PI,0.028933333333333332,22683066.86969697
TDF_FTC__DOR,NNRTI,0.0,22683066.86969697
TDF_FTC__DRV_c,PI,0.0049,22683066.86969697
TDF_FTC__DRV_r,PI,0.019966666666666667,22683066.86969697
TDF_FTC__DTG,INSTI,0.0486,22683066.86969697
TDF_FTC__EFV,NNRTI,0.044066666666666664,22683066.86969697
TDF_FTC__LPV_r,PI,0.022933333333333333,22683066.86969697
TDF_FTC__NVP,NNRTI,0.04543333333333333,22683066.86969697
TDF_FTC__RAL,INSTI,0.0138,22683066.86969697
TDF_FTC__RPV,NNRTI,0.0001,22683066.86969697
3TC_ABC__DRV_c,PI,0.006933333333333333,23480148.654545456
3TC_ABC__DRV_r,PI,0.029333333333333333,23480148.654545456
3TC__DRV_c,PI,0.007066666666666666,23480148.654545456
3TC__DRV_r,PI,0.03153333333333333,23480148.654545456
3TC__DTG,INSTI,0.06633333333333333,23480148.654545456
3TC__FTC__DRV_c,PI,0.0006,23480148.654545456
3TC__FTC__DRV_r,PI,0.0018,23480148.654545456
ABC_3TC_DTG,INSTI,0.06016666666666667,23480148.654545456
ABC_3TC__ATV_r,PI,0.04156666666666667,23480148.654545456
ABC_3TC__DRV_r,PI,0.0299,23480148.654545456
ABC_3TC__DTG,INSTI,0.06583333333333333,23480148.654545456
ABC_3TC__EFV,NNRTI,0.047766666666666666,23480148.654545456
ABC_3TC__LPV_r,PI,0.0265,23480148.654545456
ABC_3TC__NVP,NNRTI,0.0611,23480148.654545456
ABC_3TC__RAL,INSTI,0.023166666666666665,23480148.654545456
AZT_3TC_NVP,NNRTI,0.05946666666666667,23480148.654545456
AZT_3TC__ATV_r,PI,0.038733333333333335,23480148.654545456
AZT_3TC__LPV_r,PI,0.029733333333333334,23480148.654545456
AZT_3TC__NVP,NNRTI,0.06253333333333333,23480148.654545456
DRV_c,PI,0.009266666666666666,23480148.654545456
DTG_3TC,INSTI,0.0,23480148.654545456
TAF_FTC_BIC,INSTI,0.0,23480148.654545456
TAF_FTC_EVG_c,INSTI,0.0,23480148.654545456
TAF_FTC_RPV,NNRTI,0.0,23480148.654545456
TAF_FTC__DOR,NNRTI,0.0,23480148.654545456
TAF_FTC__DRV_c,PI,0.0,23480148.654545456
TAF_FTC__DRV_r,PI,0.0,23480148.654545456
TAF_FTC__DTG,INSTI,0.0,23480148.654545456
TAF_FTC__RAL,INSTI,0.0,23480148.654545456
TAF_FTC__RPV,NNRTI,0.0,23480148.654545456
TAF__DRV_c,PI,0.0,23480148.654545456
TDF_FTC_EVG_c,INSTI,0.0504,23480148.654545456
TDF_FTC_RPV,NNRTI,0.0217,23480148.654545456
TDF_FTC__ATV_r,PI,0.028766666666666666,23480148.654545456
TDF_FTC__DOR,NNRTI,0.0,23480148.654545456
TDF_FTC__DRV_c,PI,0.004933333333333333,23480148.654545456
TDF_FTC__DRV_r,PI,0.0198,23480148.654545456
TDF_FTC__DTG,INSTI,0.04903333333333333,23480148.654545456
TDF_FTC__EFV,NNRTI,0.04343333333333333,23480148.654545456
TDF_FTC__LPV_r,PI,0.0227,23480148.654545456
TDF_FTC__NVP,NNRTI,0.045033333333333335,23480148.654545456
TDF_FTC__RAL,INSTI,0.014733333333333333,23480148.654545456
TDF_FTC__RPV,NNRTI,0.0002666666666666667,23480148.654545456
3TC_ABC__DRV_c,PI,0.006866666666666667,24277230.43939394
3TC_ABC__DRV_r,PI,0.029333333333333333,24277230.43939394
3TC__DRV_c,PI,0.007166666666666667,24277230.43939394
3TC__DRV_r,PI,0.0314,24277230.43939394
3TC__DTG,INSTI,0.0671,24277230.43939394
3TC__FTC__DRV_c,PI,0.0009,24277230.43939394
3TC__FTC__DRV_r,PI,0.002033333333333333,24277230.43939394
ABC_3TC_DTG,INSTI,0.060733333333333334,24277230.43939394
ABC_3TC__ATV_r,PI,0.04153333333333333,24277230.43939394
ABC_3TC__DRV_r,PI,0.029666666666666668,24277230.43939394
ABC_3TC__DTG,INSTI,0.06656666666666666,24277230.43939394
ABC_3TC__EFV,NNRTI,0.0475,24277230.43939394
ABC_3TC__LPV_r,PI,0.0264,24277230.43939394
ABC_3TC__NVP,NNRTI,0.06023333333333333,24277230.43939394
ABC_3TC__RAL,INSTI,0.024633333333333333,24277230.43939394
AZT_3TC_NVP,NNRTI,0.058666666666666666,24277230.43939394
AZT_3TC__ATV_r,PI,0.0383,24277230.43939394
AZT_3TC__LPV_r,PI,0.029266666666666667,24277230.43939394
AZT_3TC__NVP,NNRTI,0.061566666666666665,24277230.43939394
DRV_c,PI,0.0093,24277230.43939394
DTG_3TC,INSTI,0.0,24277230.43939394
TAF_FTC_BIC,INSTI,0.0,24277230.43939394
TAF_FTC_EVG_c,INSTI,0.0,24277230.43939394
TAF_FTC_RPV,NNRTI,0.0,24277230.43939394
TAF_FTC__DOR,NNRTI,0.0,24277230.43939394
TAF_FTC__DRV_c,PI,0.0,24277230.43939394
TAF_FTC__DRV_r,PI,0.0,24277230.43939394
TAF_FTC__DTG,INSTI,0.0,24277230.43939394
TAF_FTC__RAL,INSTI,0.0,24277230.43939394
TAF_FTC__RPV,NNRTI,0.0,24277230.43939394
TAF__DRV_c,PI,0.0,24277230.43939394
TDF_FTC_EVG_c,INSTI,0.0509,24277230.43939394
TDF_FTC_RPV,NNRTI,0.021833333333333333,24277230.43939394
TDF_FTC__ATV_r,PI,0.028466666666666668,24277230.43939394
TDF_FTC__DOR,NNRTI,0.0,24277230.43939394
TDF_FTC__DRV_c,PI,0.004866666666666667,24277230.43939394
TDF_FTC__DRV_r,PI,0.019833333333333335,24277230.43939394
TDF_FTC__DTG,INSTI,0.0495,24277230.43939394
TDF_FTC__EFV,NNRTI,0.0428,24277230.43939394
TDF_FTC__LPV_r,PI,0.0224,24277230.43939394
TDF_FTC__NVP,NNRTI,0.0444,24277230.43939394
TDF_FTC__RAL,INSTI,0.0156,24277230.43939394
TDF_FTC__RPV,NNRTI,0.00036666666666666667,24277230.43939394
3TC_ABC__DRV_c,PI,0.0069,25074312.224242426
3TC_ABC__DRV_r,PI,0.029266666666666667,25074312.224242426
3TC__DRV_c,PI,0.007166666666666667,25074312.224242426
3TC__DRV_r,PI,0.0313,25074312.224242426
3TC__DTG,INSTI,0.06796666666666666,25074312.224242426
3TC__FTC__DRV_c,PI,0.0009666666666666667,25074312.224242426
3TC__FTC__DRV_r,PI,0.0023666666666666667,25074312.224242426
ABC_3TC_DTG,INSTI,0.0615,25074312.224242426
ABC_3TC__ATV_r,PI,0.0409,25074312.224242426
ABC_3TC__DRV_r,PI,0.029466666666666665,25074312.224242426
ABC_3TC__DTG,INSTI,0.06816666666666667,25074312.224242426
ABC_3TC__EFV,NNRTI,0.04683333333333333,25074312.224242426
ABC_3TC__LPV_r,PI,0.026233333333333334,25074312.224242426
ABC_3TC__NVP,NNRTI,0.0593,25074312.224242426
ABC_3TC__RAL,INSTI,0.025666666666666667,25074312.224242426
AZT_3TC_NVP,NNRTI,0.05793333333333334,25074312.224242426
AZT_3TC__ATV_r,PI,0.03813333333333333,25074312.224242426
AZT_3TC__LPV_r,PI,0.029033333333333335,25074312.224242426
AZT_3TC__NVP,NNRTI,0.0606,25074312.224242426
DRV_c,PI,0.009266666666666666,25074312.224242426
DTG_3TC,INSTI,0.0,25074312.224242426
TAF_FTC_BIC,INSTI,0.0,25074312.224242426
TAF_FTC_EVG_c,INSTI,0.0,25074312.224242426
TAF_FTC_RPV,NNRTI,0.0,25074312.224242426
TAF_FTC__DOR,NNRTI,0.0,25074312.224242426
TAF_FTC__DRV_c,PI,0.0,25074312.224242426
TAF_FTC__DRV_r,PI,0.0,25074312.224242426
TAF_FTC__DTG,INSTI,0.0,25074312.224242426
TAF_FTC__RAL,INSTI,0.0,25074312.224242426
TAF_FTC__RPV,NNRTI,0.0,25074312.224242426
TAF__DRV_c,PI,0.0,25074312.224242426
TDF_FTC_EVG_c,INSTI,0.05106666666666667,25074312.224242426
TDF_FTC_RPV,NNRTI,0.021866666666666666,25074312.224242426
TDF_FTC__ATV_r,PI,0.028033333333333334,25074312.224242426
TDF_FTC__DOR,NNRTI,0.0,25074312.224242426
TDF_FTC__DRV_c,PI,0.004933333333333333,25074312.224242426
TDF_FTC__DRV_r,PI,0.019966666666666667,25074312.224242426
TDF_FTC__DTG,INSTI,0.0502,25074312.224242426
TDF_FTC__EFV,NNRTI,0.04226666666666667,25074312.224242426
TDF_FTC__LPV_r,PI,0.022133333333333335,25074312.224242426
TDF_FTC__NVP,NNRTI,0.04373333333333333,25074312.224242426
TDF_FTC__RAL,INSTI,0.016533333333333334,25074312.224242426
TDF_FTC__RPV,NNRTI,0.0004333333333333333,25074312.224242426
3TC_ABC__DRV_c,PI,0.0069,25871394.009090908
3TC_ABC__DRV_r,PI,0.029166666666666667,25871394.009090908
3TC__DRV_c,PI,0.007233333333333333,25871394.009090908
3TC__DRV_r,PI,0.031166666666666665,25871394.009090908
3TC__DTG,INSTI,0.06813333333333334,25871394.009090908
3TC__FTC__DRV_c,PI,0.0010666666666666667,25871394.009090908
3TC__FTC__DRV_r,PI,0.0024666666666666665,25871394.009090908
ABC_3TC_DTG,INSTI,0.06233333333333333,25871394.009090908
ABC_3TC__ATV_r,PI,0.04056666666666667,25871394.009090908
ABC_3TC__DRV_r,PI,0.0292,25871394.009090908
ABC_3TC__DTG,INSTI,0.06873333333333333,25871394.009090908
ABC_3TC__EFV,NNRTI,0.046266666666666664,25871394.009090908
ABC_3TC__LPV_r,PI,0.026,25871394.009090908
ABC_3TC__NVP,NNRTI,0.0585,25871394.009090908
ABC_3TC__RAL,INSTI,0.027,25871394.009090908
AZT_3TC_NVP,NNRTI,0.05733333333333333,25871394.009090908
AZT_3TC__ATV_r,PI,0.0379,25871394.009090908
AZT_3TC__LPV_r,PI,0.028833333333333332,25871394.009090908
AZT_3TC__NVP,NNRTI,0.05973333333333333,25871394.009090908
DRV_c,PI,0.009266666666666666,25871394.009090908
DTG_3TC,INSTI,0.0,25871394.009090908
