Terapia,Grupo,Probabilidad,Disponibilidad a pagar
ABC_3TC__DRV_r,PI,0.0,39421784.35151516
ABC_3TC__DTG,INSTI,0.0,39421784.35151516
ABC_3TC__EFV,NNRTI,0.1,39421784.35151516
ABC_3TC__LPV_r,PI,0.2,39421784.35151516
ABC_3TC__NVP,NNRTI,0.0,39421784.35151516
ABC_3TC__RAL,INSTI,0.0,39421784.35151516
AZT_3TC_NVP,NNRTI,0.2,39421784.35151516
AZT_3TC__ATV_r,PI,0.1,39421784.35151516
AZT_3TC__LPV_r,PI,0.0,39421784.35151516
AZT_3TC__NVP,NNRTI,0.0,39421784.35151516
DRV_c,PI,0.0,39421784.35151516
DTG_3TC,INSTI,0.0,39421784.35151516
TAF_FTC_BIC,INSTI,0.0,39421784.35151516
TAF_FTC_EVG_c,INSTI,0.0,39421784.35151516
TAF_FTC_RPV,NNRTI,0.0,39421784.35151516
TAF_FTC__DOR,NNRTI,0.0,39421784.35151516
TAF_FTC__DRV_c,PI,0.0,39421784.35151516
TAF_FTC__DRV_r,PI,0.0,39421784.35151516
TAF_FTC__DTG,INSTI,0.0,39421784.35151516
TAF_FTC__RAL,INSTI,0.0,39421784.35151516
TAF_FTC__RPV,NNRTI,0.0,39421784.35151516
TAF__DRV_c,PI,0.0,39421784.35151516
TDF_FTC_EVG_c,INSTI,0.0,39421784.35151516
TDF_FTC_RPV,NNRTI,0.1,39421784.35151516
TDF_FTC__ATV_r,PI,0.0,39421784.35151516
TDF_FTC__DOR,NNRTI,0.0,39421784.35151516
TDF_FTC__DRV_c,PI,0.0,39421784.35151516
TDF_FTC__DRV_r,PI,0.1,39421784.35151516
TDF_FTC__DTG,INSTI,0.0,39421784.35151516
TDF_FTC__EFV,NNRTI,0.1,39421784.35151516
TDF_FTC__LPV_r,PI,0.0,39421784.35151516
TDF_FTC__NVP,NNRTI,0.0,39421784.35151516
TDF_FTC__RAL,INSTI,0.0,39421784.35151516
TDF_FTC__RPV,NNRTI,0.0,39421784.35151516
3TC_ABC__DRV_c,PI,0.0,40218866.13636364
3TC_ABC__DRV_r,PI,0.0,40218866.13636364
3TC__DRV_c,PI,0.1,40218866.13636364
3TC__DRV_r,PI,0.0,40218866.13636364
3TC__DTG,INSTI,0.0,40218866.13636364
3TC__FTC__DRV_c,PI,0.0,40218866.13636364
3TC__FTC__DRV_r,PI,0.0,40218866.13636364
ABC_3TC_DTG,INSTI,0.0,40218866.13636364
ABC_3TC__ATV_r,PI,0.0,40218866.13636364
ABC_3TC__DRV_r,PI,0.0,40218866.13636364
ABC_3TC__DTG,INSTI,0.0,40218866.13636364
ABC_3TC__EFV,NNRTI,0.1,40218866.13636364
ABC_3TC__LPV_r,PI,0.2,40218866.13636364
ABC_3TC__NVP,NNRTI,0.0,40218866.13636364
ABC_3TC__RAL,INSTI,0.0,40218866.13636364
AZT_3TC_NVP,NNRTI,0.2,40218866.13636364
AZT_3TC__ATV_r,PI,0.1,40218866.13636364
AZT_3TC__LPV_r,PI,0.0,40218866.13636364
AZT_3TC__NVP,NNRTI,0.0,40218866.13636364
DRV_c,PI,0.0,40218866.13636364
DTG_3TC,INSTI,0.0,40218866.13636364
TAF_FTC_BIC,INSTI,0.0,40218866.13636364
TAF_FTC_EVG_c,INSTI,0.0,40218866.13636364
TAF_FTC_RPV,NNRTI,0.0,40218866.13636364
TAF_FTC__DOR,NNRTI,0.0,40218866.13636364
TAF_FTC__DRV_c,PI,0.0,40218866.13636364
TAF_FTC__DRV_r,PI,0.0,40218866.13636364
TAF_FTC__DTG,INSTI,0.0,40218866.13636364
TAF_FTC__RAL,INSTI,0.0,40218866.13636364
TAF_FTC__RPV,NNRTI,0.0,40218866.13636364
TAF__DRV_c,PI,0.0,40218866.13636364
TDF_FTC_EVG_c,INSTI,0.0,40218866.13636364
TDF_FTC_RPV,NNRTI,0.1,40218866.13636364
TDF_FTC__ATV_r,PI,0.0,40218866.13636364
TDF_FTC__DOR,NNRTI,0.0,40218866.13636364
TDF_FTC__DRV_c,PI,0.0,40218866.13636364
TDF_FTC__DRV_r,PI,0.1,40218866.13636364
TDF_FTC__DTG,INSTI,0.0,40218866.13636364
TDF_FTC__EFV,NNRTI,0.1,40218866.13636364
TDF_FTC__LPV_r,PI,0.0,40218866.13636364
TDF_FTC__NVP,NNRTI,0.0,40218866.13636364
TDF_FTC__RAL,INSTI,0.0,40218866.13636364
TDF_FTC__RPV,NNRTI,0.0,40218866.13636364
3TC_ABC__DRV_c,PI,0.0,41015947.92121212
3TC_ABC__DRV_r,PI,0.0,41015947.92121212
3TC__DRV_c,PI,0.1,41015947.92121212
3TC__DRV_r,PI,0.0,41015947.92121212
3TC__DTG,INSTI,0.0,41015947.92121212
3TC__FTC__DRV_c,PI,0.0,41015947.92121212
3TC__FTC__DRV_r,PI,0.0,41015947.92121212
ABC_3TC_DTG,INSTI,0.0,41015947.92121212
ABC_3TC__ATV_r,PI,0.0,41015947.92121212
ABC_3TC__DRV_r,PI,0.0,41015947.92121212
ABC_3TC__DTG,INSTI,0.0,41015947.92121212
ABC_3TC__EFV,NNRTI,0.1,41015947.92121212
ABC_3TC__LPV_r,PI,0.2,41015947.92121212
ABC_3TC__NVP,NNRTI,0.0,41015947.92121212
ABC_3TC__RAL,INSTI,0.0,41015947.92121212
AZT_3TC_NVP,NNRTI,0.2,41015947.92121212
AZT_3TC__ATV_r,PI,0.1,41015947.92121212
AZT_3TC__LPV_r,PI,0.0,41015947.92121212
AZT_3TC__NVP,NNRTI,0.0,41015947.92121212
DRV_c,PI,0.0,41015947.92121212
DTG_3TC,INSTI,0.0,41015947.92121212
TAF_FTC_BIC,INSTI,0.0,41015947.92121212
TAF_FTC_EVG_c,INSTI,0.0,41015947.92121212
TAF_FTC_RPV,NNRTI,0.0,41015947.92121212
TAF_FTC__DOR,NNRTI,0.0,41015947.92121212
TAF_FTC__DRV_c,PI,0.0,41015947.92121212
TAF_FTC__DRV_r,PI,0.0,41015947.92121212
TAF_FTC__DTG,INSTI,0.0,41015947.92121212
TAF_FTC__RAL,INSTI,0.0,41015947.92121212
TAF_FTC__RPV,NNRTI,0.0,41015947.92121212
TAF__DRV_c,PI,0.0,41015947.92121212
TDF_FTC_EVG_c,INSTI,0.0,41015947.92121212
TDF_FTC_RPV,NNRTI,0.1,41015947.92121212
TDF_FTC__ATV_r,PI,0.0,41015947.92121212
TDF_FTC__DOR,NNRTI,0.0,41015947.92121212
TDF_FTC__DRV_c,PI,0.0,41015947.92121212
TDF_FTC__DRV_r,PI,0.1,41015947.92121212
TDF_FTC__DTG,INSTI,0.0,41015947.92121212
TDF_FTC__EFV,NNRTI,0.1,41015947.92121212
TDF_FTC__LPV_r,PI,0.0,41015947.92121212
TDF_FTC__NVP,NNRTI,0.0,41015947.92121212
TDF_FTC__RAL,INSTI,0.0,41015947.92121212
TDF_FTC__RPV,NNRTI,0.0,41015947.92121212
3TC_ABC__DRV_c,PI,0.0,41813029.7060606
3TC_ABC__DRV_r,PI,0.0,41813029.7060606
3TC__DRV_c,PI,0.1,41813029.7060606
3TC__DRV_r,PI,0.0,41813029.7060606
3TC__DTG,INSTI,0.0,41813029.7060606
3TC__FTC__DRV_c,PI,0.0,41813029.7060606
3TC__FTC__DRV_r,PI,0.0,41813029.7060606
ABC_3TC_DTG,INSTI,0.0,41813029.7060606
ABC_3TC__ATV_r,PI,0.0,41813029.7060606
ABC_3TC__DRV_r,PI,0.0,41813029.7060606
ABC_3TC__DTG,INSTI,0.0,41813029.7060606
ABC_3TC__EFV,NNRTI,0.1,41813029.7060606
ABC_3TC__LPV_r,PI,0.2,41813029.7060606
ABC_3TC__NVP,NNRTI,0.0,41813029.7060606
ABC_3TC__RAL,INSTI,0.0,41813029.7060606
AZT_3TC_NVP,NNRTI,0.2,41813029.7060606
AZT_3TC__ATV_r,PI,0.1,41813029.7060606
AZT_3TC__LPV_r,PI,0.0,41813029.7060606
AZT_3TC__NVP,NNRTI,0.0,41813029.7060606
DRV_c,PI,0.0,41813029.7060606
DTG_3TC,INSTI,0.0,41813029.7060606
TAF_FTC_BIC,INSTI,0.0,41813029.7060606
TAF_FTC_EVG_c,INSTI,0.0,41813029.7060606
TAF_FTC_RPV,NNRTI,0.0,41813029.7060606
TAF_FTC__DOR,NNRTI,0.0,41813029.7060606
TAF_FTC__DRV_c,PI,0.0,41813029.7060606
TAF_FTC__DRV_r,PI,0.0,41813029.7060606
TAF_FTC__DTG,INSTI,0.0,41813029.7060606
TAF_FTC__RAL,INSTI,0.0,41813029.7060606
TAF_FTC__RPV,NNRTI,0.0,41813029.7060606
TAF__DRV_c,PI,0.0,41813029.7060606
TDF_FTC_EVG_c,INSTI,0.0,41813029.7060606
TDF_FTC_RPV,NNRTI,0.1,41813029.7060606
TDF_FTC__ATV_r,PI,0.0,41813029.7060606
TDF_FTC__DOR,NNRTI,0.0,41813029.7060606
TDF_FTC__DRV_c,PI,0.0,41813029.7060606
TDF_FTC__DRV_r,PI,0.1,41813029.7060606
TDF_FTC__DTG,INSTI,0.0,41813029.7060606
TDF_FTC__EFV,NNRTI,0.1,41813029.7060606
TDF_FTC__LPV_r,PI,0.0,41813029.7060606
TDF_FTC__NVP,NNRTI,0.0,41813029.7060606
TDF_FTC__RAL,INSTI,0.0,41813029.7060606
TDF_FTC__RPV,NNRTI,0.0,41813029.7060606
3TC_ABC__DRV_c,PI,0.0,42610111.49090909
3TC_ABC__DRV_r,PI,0.0,42610111.49090909
3TC__DRV_c,PI,0.1,42610111.49090909
3TC__DRV_r,PI,0.0,42610111.49090909
3TC__DTG,INSTI,0.0,42610111.49090909
3TC__FTC__DRV_c,PI,0.0,42610111.49090909
3TC__FTC__DRV_r,PI,0.0,42610111.49090909
ABC_3TC_DTG,INSTI,0.0,42610111.49090909
ABC_3TC__ATV_r,PI,0.0,42610111.49090909
ABC_3TC__DRV_r,PI,0.0,42610111.49090909
ABC_3TC__DTG,INSTI,0.0,42610111.49090909
ABC_3TC__EFV,NNRTI,0.1,42610111.49090909
ABC_3TC__LPV_r,PI,0.2,42610111.49090909
ABC_3TC__NVP,NNRTI,0.0,42610111.49090909
ABC_3TC__RAL,INSTI,0.0,42610111.49090909
AZT_3TC_NVP,NNRTI,0.2,42610111.49090909
AZT_3TC__ATV_r,PI,0.1,42610111.49090909
AZT_3TC__LPV_r,PI,0.0,42610111.49090909
AZT_3TC__NVP,NNRTI,0.0,42610111.49090909
DRV_c,PI,0.0,42610111.49090909
DTG_3TC,INSTI,0.0,42610111.49090909
TAF_FTC_BIC,INSTI,0.0,42610111.49090909
TAF_FTC_EVG_c,INSTI,0.0,42610111.49090909
TAF_FTC_RPV,NNRTI,0.0,42610111.49090909
TAF_FTC__DOR,NNRTI,0.0,42610111.49090909
TAF_FTC__DRV_c,PI,0.0,42610111.49090909
TAF_FTC__DRV_r,PI,0.0,42610111.49090909
TAF_FTC__DTG,INSTI,0.0,42610111.49090909
TAF_FTC__RAL,INSTI,0.0,42610111.49090909
TAF_FTC__RPV,NNRTI,0.0,42610111.49090909
TAF__DRV_c,PI,0.0,42610111.49090909
TDF_FTC_EVG_c,INSTI,0.0,42610111.49090909
TDF_FTC_RPV,NNRTI,0.1,42610111.49090909
TDF_FTC__ATV_r,PI,0.0,42610111.49090909
TDF_FTC__DOR,NNRTI,0.0,42610111.49090909
TDF_FTC__DRV_c,PI,0.0,42610111.49090909
TDF_FTC__DRV_r,PI,0.1,42610111.49090909
TDF_FTC__DTG,INSTI,0.0,42610111.49090909
TDF_FTC__EFV,NNRTI,0.1,42610111.49090909
TDF_FTC__LPV_r,PI,0.0,42610111.49090909
TDF_FTC__NVP,NNRTI,0.0,42610111.49090909
TDF_FTC__RAL,INSTI,0.0,42610111.49090909
TDF_FTC__RPV,NNRTI,0.0,42610111.49090909
3TC_ABC__DRV_c,PI,0.0,43407193.27575758
3TC_ABC__DRV_r,PI,0.0,43407193.27575758
3TC__DRV_c,PI,0.1,43407193.27575758
3TC__DRV_r,PI,0.0,43407193.27575758
3TC__DTG,INSTI,0.0,43407193.27575758
3TC__FTC__DRV_c,PI,0.0,43407193.27575758
3TC__FTC__DRV_r,PI,0.0,43407193.27575758
ABC_3TC_DTG,INSTI,0.0,43407193.27575758
ABC_3TC__ATV_r,PI,0.0,43407193.27575758
ABC_3TC__DRV_r,PI,0.0,43407193.27575758
ABC_3TC__DTG,INSTI,0.0,43407193.27575758
ABC_3TC__EFV,NNRTI,0.1,43407193.27575758
ABC_3TC__LPV_r,PI,0.2,43407193.27575758
ABC_3TC__NVP,NNRTI,0.0,43407193.27575758
ABC_3TC__RAL,INSTI,0.0,43407193.27575758
AZT_3TC_NVP,NNRTI,0.2,43407193.27575758
AZT_3TC__ATV_r,PI,0.1,43407193.27575758
AZT_3TC__LPV_r,PI,0.0,43407193.27575758
AZT_3TC__NVP,NNRTI,0.0,43407193.27575758
DRV_c,PI,0.0,43407193.27575758
DTG_3TC,INSTI,0.0,43407193.27575758
TAF_FTC_BIC,INSTI,0.0,43407193.27575758
TAF_FTC_EVG_c,INSTI,0.0,43407193.27575758
TAF_FTC_RPV,NNRTI,0.0,43407193.27575758
TAF_FTC__DOR,NNRTI,0.0,43407193.27575758
TAF_FTC__DRV_c,PI,0.0,43407193.27575758
TAF_FTC__DRV_r,PI,0.0,43407193.27575758
TAF_FTC__DTG,INSTI,0.0,43407193.27575758
TAF_FTC__RAL,INSTI,0.0,43407193.27575758
TAF_FTC__RPV,NNRTI,0.0,43407193.27575758
TAF__DRV_c,PI,0.0,43407193.27575758
TDF_FTC_EVG_c,INSTI,0.0,43407193.27575758
TDF_FTC_RPV,NNRTI,0.1,43407193.27575758
TDF_FTC__ATV_r,PI,0.0,43407193.27575758
TDF_FTC__DOR,NNRTI,0.0,43407193.27575758
TDF_FTC__DRV_c,PI,0.0,43407193.27575758
TDF_FTC__DRV_r,PI,0.1,43407193.27575758
TDF_FTC__DTG,INSTI,0.0,43407193.27575758
TDF_FTC__EFV,NNRTI,0.1,43407193.27575758
TDF_FTC__LPV_r,PI,0.0,43407193.27575758
TDF_FTC__NVP,NNRTI,0.0,43407193.27575758
TDF_FTC__RAL,INSTI,0.0,43407193.27575758
TDF_FTC__RPV,NNRTI,0.0,43407193.27575758
3TC_ABC__DRV_c,PI,0.0,44204275.06060606
3TC_ABC__DRV_r,PI,0.0,44204275.06060606
3TC__DRV_c,PI,0.1,44204275.06060606
3TC__DRV_r,PI,0.0,44204275.06060606
3TC__DTG,INSTI,0.0,44204275.06060606
3TC__FTC__DRV_c,PI,0.0,44204275.06060606
3TC__FTC__DRV_r,PI,0.0,44204275.06060606
ABC_3TC_DTG,INSTI,0.0,44204275.06060606
ABC_3TC__ATV_r,PI,0.0,44204275.06060606
ABC_3TC__DRV_r,PI,0.0,44204275.06060606
ABC_3TC__DTG,INSTI,0.0,44204275.06060606
ABC_3TC__EFV,NNRTI,0.1,44204275.06060606
ABC_3TC__LPV_r,PI,0.2,44204275.06060606
ABC_3TC__NVP,NNRTI,0.0,44204275.06060606
ABC_3TC__RAL,INSTI,0.0,44204275.06060606
AZT_3TC_NVP,NNRTI,0.2,44204275.06060606
AZT_3TC__ATV_r,PI,0.1,44204275.06060606
AZT_3TC__LPV_r,PI,0.0,44204275.06060606
AZT_3TC__NVP,NNRTI,0.0,44204275.06060606
DRV_c,PI,0.0,44204275.06060606
DTG_3TC,INSTI,0.0,44204275.06060606
TAF_FTC_BIC,INSTI,0.0,44204275.06060606
TAF_FTC_EVG_c,INSTI,0.0,44204275.06060606
TAF_FTC_RPV,NNRTI,0.0,44204275.06060606
TAF_FTC__DOR,NNRTI,0.0,44204275.06060606
TAF_FTC__DRV_c,PI,0.0,44204275.06060606
TAF_FTC__DRV_r,PI,0.0,44204275.06060606
TAF_FTC__DTG,INSTI,0.0,44204275.06060606
TAF_FTC__RAL,INSTI,0.0,44204275.06060606
TAF_FTC__RPV,NNRTI,0.0,44204275.06060606
TAF__DRV_c,PI,0.0,44204275.06060606
TDF_FTC_EVG_c,INSTI,0.0,44204275.06060606
TDF_FTC_RPV,NNRTI,0.1,44204275.06060606
TDF_FTC__ATV_r,PI,0.0,44204275.06060606
TDF_FTC__DOR,NNRTI,0.0,44204275.06060606
TDF_FTC__DRV_c,PI,0.0,44204275.06060606
TDF_FTC__DRV_r,PI,0.1,44204275.06060606
TDF_FTC__DTG,INSTI,0.0,44204275.06060606
TDF_FTC__EFV,NNRTI,0.1,44204275.06060606
TDF_FTC__LPV_r,PI,0.0,44204275.06060606
TDF_FTC__NVP,NNRTI,0.0,44204275.06060606
TDF_FTC__RAL,INSTI,0.0,44204275.06060606
TDF_FTC__RPV,NNRTI,0.0,44204275.06060606
3TC_ABC__DRV_c,PI,0.0,45001356.845454544
3TC_ABC__DRV_r,PI,0.0,45001356.845454544
3TC__DRV_c,PI,0.1,45001356.845454544
3TC__DRV_r,PI,0.0,45001356.845454544
3TC__DTG,INSTI,0.0,45001356.845454544
3TC__FTC__DRV_c,PI,0.0,45001356.845454544
3TC__FTC__DRV_r,PI,0.0,45001356.845454544
ABC_3TC_DTG,INSTI,0.0,45001356.845454544
ABC_3TC__ATV_r,PI,0.0,45001356.845454544
ABC_3TC__DRV_r,PI,0.0,45001356.845454544
ABC_3TC__DTG,INSTI,0.0,45001356.845454544
ABC_3TC__EFV,NNRTI,0.1,45001356.845454544
ABC_3TC__LPV_r,PI,0.2,45001356.845454544
ABC_3TC__NVP,NNRTI,0.0,45001356.845454544
ABC_3TC__RAL,INSTI,0.0,45001356.845454544
AZT_3TC_NVP,NNRTI,0.2,45001356.845454544
AZT_3TC__ATV_r,PI,0.1,45001356.845454544
AZT_3TC__LPV_r,PI,0.0,45001356.845454544
AZT_3TC__NVP,NNRTI,0.0,45001356.845454544
DRV_c,PI,0.0,45001356.845454544
DTG_3TC,INSTI,0.0,45001356.845454544
TAF_FTC_BIC,INSTI,0.0,45001356.845454544
TAF_FTC_EVG_c,INSTI,0.0,45001356.845454544
TAF_FTC_RPV,NNRTI,0.0,45001356.845454544
TAF_FTC__DOR,NNRTI,0.0,45001356.845454544
TAF_FTC__DRV_c,PI,0.0,45001356.845454544
TAF_FTC__DRV_r,PI,0.0,45001356.845454544
TAF_FTC__DTG,INSTI,0.0,45001356.845454544
TAF_FTC__RAL,INSTI,0.0,45001356.845454544
TAF_FTC__RPV,NNRTI,0.0,45001356.845454544
TAF__DRV_c,PI,0.0,45001356.845454544
TDF_FTC_EVG_c,INSTI,0.0,45001356.845454544
TDF_FTC_RPV,NNRTI,0.1,45001356.845454544
TDF_FTC__ATV_r,PI,0.0,45001356.845454544
TDF_FTC__DOR,NNRTI,0.0,45001356.845454544
TDF_FTC__DRV_c,PI,0.0,45001356.845454544
TDF_FTC__DRV_r,PI,0.1,45001356.845454544
TDF_FTC__DTG,INSTI,0.0,45001356.845454544
TDF_FTC__EFV,NNRTI,0.1,45001356.845454544
TDF_FTC__LPV_r,PI,0.0,45001356.845454544
TDF_FTC__NVP,NNRTI,0.0,45001356.845454544
TDF_FTC__RAL,INSTI,0.0,45001356.845454544
TDF_FTC__RPV,NNRTI,0.0,45001356.845454544
3TC_ABC__DRV_c,PI,0.0,45798438.63030303
3TC_ABC__DRV_r,PI,0.0,45798438.63030303
3TC__DRV_c,PI,0.1,45798438.63030303
3TC__DRV_r,PI,0.0,45798438.63030303
3TC__DTG,INSTI,0.0,45798438.63030303
3TC__FTC__DRV_c,PI,0.0,45798438.63030303
3TC__FTC__DRV_r,PI,0.0,45798438.63030303
ABC_3TC_DTG,INSTI,0.0,45798438.63030303
ABC_3TC__ATV_r,PI,0.0,45798438.63030303
ABC_3TC__DRV_r,PI,0.0,45798438.63030303
ABC_3TC__DTG,INSTI,0.0,45798438.63030303
ABC_3TC__EFV,NNRTI,0.1,45798438.63030303
ABC_3TC__LPV_r,PI,0.2,45798438.63030303
ABC_3TC__NVP,NNRTI,0.0,45798438.63030303
ABC_3TC__RAL,INSTI,0.0,45798438.63030303
AZT_3TC_NVP,NNRTI,0.2,45798438.63030303
AZT_3TC__ATV_r,PI,0.1,45798438.63030303
AZT_3TC__LPV_r,PI,0.0,45798438.63030303
AZT_3TC__NVP,NNRTI,0.0,45798438.63030303
DRV_c,PI,0.0,45798438.63030303
DTG_3TC,INSTI,0.0,45798438.63030303
TAF_FTC_BIC,INSTI,0.0,45798438.63030303
TAF_FTC_EVG_c,INSTI,0.0,45798438.63030303
TAF_FTC_RPV,NNRTI,0.0,45798438.63030303
TAF_FTC__DOR,NNRTI,0.0,45798438.63030303
TAF_FTC__DRV_c,PI,0.0,45798438.63030303
TAF_FTC__DRV_r,PI,0.0,45798438.63030303
TAF_FTC__DTG,INSTI,0.0,45798438.63030303
TAF_FTC__RAL,INSTI,0.0,45798438.63030303
TAF_FTC__RPV,NNRTI,0.0,45798438.63030303
TAF__DRV_c,PI,0.0,45798438.63030303
TDF_FTC_EVG_c,INSTI,0.0,45798438.63030303
TDF_FTC_RPV,NNRTI,0.1,45798438.63030303
TDF_FTC__ATV_r,PI,0.0,45798438.63030303
TDF_FTC__DOR,NNRTI,0.0,45798438.63030303
TDF_FTC__DRV_c,PI,0.0,45798438.63030303
TDF_FTC__DRV_r,PI,0.1,45798438.63030303
TDF_FTC__DTG,INSTI,0.0,45798438.63030303
TDF_FTC__EFV,NNRTI,0.1,45798438.63030303
TDF_FTC__LPV_r,PI,0.0,45798438.63030303
TDF_FTC__NVP,NNRTI,0.0,45798438.63030303
TDF_FTC__RAL,INSTI,0.0,45798438.63030303
TDF_FTC__RPV,NNRTI,0.0,45798438.63030303
3TC_ABC__DRV_c,PI,0.0,46595520.41515152
3TC_ABC__DRV_r,PI,0.0,46595520.41515152
3TC__DRV_c,PI,0.1,46595520.41515152
3TC__DRV_r,PI,0.0,46595520.41515152
3TC__DTG,INSTI,0.0,46595520.41515152
3TC__FTC__DRV_c,PI,0.0,46595520.41515152
3TC__FTC__DRV_r,PI,0.0,46595520.41515152
ABC_3TC_DTG,INSTI,0.0,46595520.41515152
ABC_3TC__ATV_r,PI,0.0,46595520.41515152
ABC_3TC__DRV_r,PI,0.0,46595520.41515152
ABC_3TC__DTG,INSTI,0.0,46595520.41515152
ABC_3TC__EFV,NNRTI,0.1,46595520.41515152
ABC_3TC__LPV_r,PI,0.2,46595520.41515152
ABC_3TC__NVP,NNRTI,0.0,46595520.41515152
ABC_3TC__RAL,INSTI,0.0,46595520.41515152
AZT_3TC_NVP,NNRTI,0.2,46595520.41515152
AZT_3TC__ATV_r,PI,0.1,46595520.41515152
AZT_3TC__LPV_r,PI,0.0,46595520.41515152
AZT_3TC__NVP,NNRTI,0.0,46595520.41515152
DRV_c,PI,0.0,46595520.41515152
DTG_3TC,INSTI,0.0,46595520.41515152
TAF_FTC_BIC,INSTI,0.0,46595520.41515152
TAF_FTC_EVG_c,INSTI,0.0,46595520.41515152
TAF_FTC_RPV,NNRTI,0.0,46595520.41515152
TAF_FTC__DOR,NNRTI,0.0,46595520.41515152
TAF_FTC__DRV_c,PI,0.0,46595520.41515152
TAF_FTC__DRV_r,PI,0.0,46595520.41515152
TAF_FTC__DTG,INSTI,0.0,46595520.41515152
TAF_FTC__RAL,INSTI,0.0,46595520.41515152
TAF_FTC__RPV,NNRTI,0.0,46595520.41515152
TAF__DRV_c,PI,0.0,46595520.41515152
TDF_FTC_EVG_c,INSTI,0.0,46595520.41515152
TDF_FTC_RPV,NNRTI,0.1,46595520.41515152
TDF_FTC__ATV_r,PI,0.0,46595520.41515152
TDF_FTC__DOR,NNRTI,0.0,46595520.41515152
TDF_FTC__DRV_c,PI,0.0,46595520.41515152
TDF_FTC__DRV_r,PI,0.1,46595520.41515152
TDF_FTC__DTG,INSTI,0.0,46595520.41515152
TDF_FTC__EFV,NNRTI,0.1,46595520.41515152
TDF_FTC__LPV_r,PI,0.0,46595520.41515152
TDF_FTC__NVP,NNRTI,0.0,46595520.41515152
TDF_FTC__RAL,INSTI,0.0,46595520.41515152
TDF_FTC__RPV,NNRTI,0.0,46595520.41515152
3TC_ABC__DRV_c,PI,0.0,47392602.2
3TC_ABC__DRV_r,PI,0.0,47392602.2
3TC__DRV_c,PI,0.1,47392602.2
3TC__DRV_r,PI,0.0,47392602.2
3TC__DTG,INSTI,0.0,47392602.2
3TC__FTC__DRV_c,PI,0.0,47392602.2
3TC__FTC__DRV_r,PI,0.0,47392602.2
ABC_3TC_DTG,INSTI,0.0,47392602.2
ABC_3TC__ATV_r,PI,0.0,47392602.2
ABC_3TC__DRV_r,PI,0.0,47392602.2
ABC_3TC__DTG,INSTI,0.0,47392602.2
ABC_3TC__EFV,NNRTI,0.1,47392602.2
ABC_3TC__LPV_r,PI,0.2,47392602.2
ABC_3TC__NVP,NNRTI,0.0,47392602.2
ABC_3TC__RAL,INSTI,0.0,47392602.2
AZT_3TC_NVP,NNRTI,0.2,47392602.2
AZT_3TC__ATV_r,PI,0.1,47392602.2
AZT_3TC__LPV_r,PI,0.0,47392602.2
AZT_3TC__NVP,NNRTI,0.0,47392602.2
DRV_c,PI,0.0,47392602.2
DTG_3TC,INSTI,0.0,47392602.2
TAF_FTC_BIC,INSTI,0.0,47392602.2
TAF_FTC_EVG_c,INSTI,0.0,47392602.2
TAF_FTC_RPV,NNRTI,0.0,47392602.2
TAF_FTC__DOR,NNRTI,0.0,47392602.2
TAF_FTC__DRV_c,PI,0.0,47392602.2
TAF_FTC__DRV_r,PI,0.0,47392602.2
TAF_FTC__DTG,INSTI,0.0,47392602.2
TAF_FTC__RAL,INSTI,0.0,47392602.2
TAF_FTC__RPV,NNRTI,0.0,47392602.2
TAF__DRV_c,PI,0.0,47392602.2
TDF_FTC_EVG_c,INSTI,0.0,47392602.2
TDF_FTC_RPV,NNRTI,0.1,47392602.2
TDF_FTC__ATV_r,PI,0.0,47392602.2
TDF_FTC__DOR,NNRTI,0.0,47392602.2
TDF_FTC__DRV_c,PI,0.0,47392602.2
TDF_FTC__DRV_r,PI,0.1,47392602.2
TDF_FTC__DTG,INSTI,0.0,47392602.2
TDF_FTC__EFV,NNRTI,0.1,47392602.2
TDF_FTC__LPV_r,PI,0.0,47392602.2
TDF_FTC__NVP,NNRTI,0.0,47392602.2
TDF_FTC__RAL,INSTI,0.0,47392602.2
TDF_FTC__RPV,NNRTI,0.0,47392602.2
3TC_ABC__DRV_c,PI,0.0,48189683.984848484
3TC_ABC__DRV_r,PI,0.0,48189683.984848484
3TC__DRV_c,PI,0.1,48189683.984848484
3TC__DRV_r,PI,0.0,48189683.984848484
3TC__DTG,INSTI,0.0,48189683.984848484
3TC__FTC__DRV_c,PI,0.0,48189683.984848484
3TC__FTC__DRV_r,PI,0.0,48189683.984848484
ABC_3TC_DTG,INSTI,0.0,48189683.984848484
ABC_3TC__ATV_r,PI,0.0,48189683.984848484
ABC_3TC__DRV_r,PI,0.0,48189683.984848484
ABC_3TC__DTG,INSTI,0.0,48189683.984848484
ABC_3TC__EFV,NNRTI,0.1,48189683.984848484
ABC_3TC__LPV_r,PI,0.2,48189683.984848484
ABC_3TC__NVP,NNRTI,0.0,48189683.984848484
ABC_3TC__RAL,INSTI,0.0,48189683.984848484
AZT_3TC_NVP,NNRTI,0.2,48189683.984848484
AZT_3TC__ATV_r,PI,0.1,48189683.984848484
AZT_3TC__LPV_r,PI,0.0,48189683.984848484
AZT_3TC__NVP,NNRTI,0.0,48189683.984848484
DRV_c,PI,0.0,48189683.984848484
DTG_3TC,INSTI,0.0,48189683.984848484
TAF_FTC_BIC,INSTI,0.0,48189683.984848484
TAF_FTC_EVG_c,INSTI,0.0,48189683.984848484
TAF_FTC_RPV,NNRTI,0.0,48189683.984848484
TAF_FTC__DOR,NNRTI,0.0,48189683.984848484
